HSCode,Description,Unit,Quantity,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Imports_Revenue_Rs_Thousands
01051100,"Live fowls of species gallus domesticus, weighing =<185g (chicks)",PCS,12632,63514.4625,0.063514,0.13
01059900,"Live poultry, ducks, geese, turkeys and guinea fouls weighing >185g",PCS,11440,19920.898,0.019921,0.065
01061900,Other; live mammals,PCS,1,76.32,0.000076,7.697
01069000,Other live animals,PCS,57,4070.342653,0.00407,409.326
03011100,Freshwater fish,Kg,1067.75,506.487207,0.000506,46.114
03011900,Other fish,Kg,194,357.350383,0.000357,32.423
03019900,Other live fish,Kg,1082.439999,1469.360861,0.001469,143.685
03031900,"Others Tilapias (Oreochromis spp), catfish Pangasius spp, Silurus spp, Claria s.",Kg,61164,10004.901629,0.010005,2318.551
03032400,"Catfish (Pangasius spp, Silurus spp, Clariaspp, Ictalurus spp)",Kg,171254,37139.504437,0.03714,8613.598
03032500,"Carp (Cyprinus carpio, Carassius carassius, tenopharyngodon idellus, Hypophthalmi",Kg,218804,47762.460242,0.047762,11076.569
03046200,"Catfish (Pangasius spp, Silurus spp, Claria  spp, Ictalurus spp)",Kg,73000,19026.775,0.019027,4623.707
03052000,"Livers and roes, dried, smoked, salted or in brine",Kg,1,1.12398,0.000001,0.59
03053900,"Other fish fillets dried,salted or in brine but not smoked",Kg,21.8,7.12026,0.000007,8.139
03055300,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanon~1",Kg,3,0.88603,0.000001,0.349
03055400,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines ~1",Kg,1002.5,1083.997135,0.001084,263.479
03055900,"Other dried fish, not smoked (excl cod)",Kg,18045,5585.085293,0.005585,1398.945
03061700,Other shrimps and prawns,Kg,5561.600006,7123.959625,0.007124,1409.191
03069200,Lobsters (Homarus spp.),Kg,500,1229.376875,0.001229,298.804
03074300,Frozen Cuttle fish and squid,Kg,3300,1804.725234,0.001805,438.552
03075200,Frozen Octopus,Kg,1500,909.738875,0.00091,221.067
04015000,"Milk and cream of >10% fat, not concentrated nor added suger sweetening matter",LTR,45,19.5,0.000019,2.145
04021010,"Skimmed Milk In powder, granules or other solid forms, of a fat >1.5%",Kg,46.204,13.18119,0.000013,19.359
04021020,"Milk food for babies in powder, granules or other solid forms, of a fat >1.5%",Kg,86.2,116.93772,0.000117,41.688
04021090,"Other Milk and cream in powder, granules or other solid forms of <1.5% fat",Kg,87,22.58116,0.000023,13.945
04022100,"Milk and cream in powder, granules or other solid forms of >1.5% fat, unsweetened",Kg,14.4,6.27788,0.000006,3.874
04022910,Milk food for babies fat content exceeding 1.5%,Kg,22.3,26.02524,0.000026,11.594
04029100,"Other Concentrated milk & cream,Not containing added sugar or other sweetening matter",Kg,130,23.1519,0.000023,49.226
04029900,Sweetened milk and cream (excl in solid form),Kg,4,1.74092,0.000002,3.392
04032000,Yogurt,Kg,2.6,29.697061,0.00003,8.898
04051000,Butter,Kg,127,11.50759,0.000012,7.093
04059010,Ghee,Kg,81,77.879451,0.000078,48.1
04061000,"Fresh (unripened or uncured)cheese, including whey cheese and curd.",Kg,496,993.595,0.000994,149.105
04062000,"Grated or powdered cheese, of all kinds",Kg,6000.8,4118.22101,0.004118,1233.572
04063000,"Processed cheese, not grated or powdered",Kg,102.400002,261.541703,0.000262,78.333
04069010,Other cheese,Kg,47,21.05075,0.000021,3.224
04069090,Other cheese,Kg,7470,6649.110625,0.006649,1991.544
04090090,Other natural honey,Kg,3.1,1.11403,0.000001,0.729
05080000,"Coral; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked",Kg,6691,4191.857167,0.004192,804.892
05111000,Bovine semen and embryo,Kg,2,6536.74325,0.006537,923.712
05119990,"Other animal products of chapter 2,3 nes,  unfit for human consumption",Kg,6000,3668.43,0.003668,891.429
06022000,"Trees, shrubs and bushes, grafted or not, of kind which bear edible fruit or nuts",PCS,32797,25989.404625,0.025989,0.39
06029000,"Other live plants,nes",PCS,38460,6694.456426,0.006694,46.356
06031500,Lilies (Lilium spp) fresh cut flowers and buds,Kg,1880,612.661981,0.000613,142.041
06031900,Other - Fresh cut flowers & buds,Kg,5750.5,1682.716478,0.001683,391.25
07019000,"Other potatoes, fresh or chilled",Kg,33102875,831090.473589,0.83109,74865.297
07020000,Tomatoes fresh or chilled,Kg,1789791,45593.804434,0.045594,4111.939
07031000,"Onions and shallots, fresh or chilled",Kg,17518569,718307.341686,0.718307,64670.175
07032000,"Garlic, fresh or chilled",Kg,2418000,351615.342438,0.351615,85736.59
07049000,"White and red cabbages, kohlrabi, kalee tc, fresh or chilled.",Kg,1000,25.24198,0.000025,2.272
07061000,"Carrots and turnips, fresh or chilled",Kg,360136,12445.189672,0.012445,1124.016
07069000,"salad beetroot, salsify, celeriac,radishes&similar edible roots, fresh or chilled",Kg,112297,6388.656121,0.006389,576.306
07070000,"Cucumbers and gherkins, fresh or chilled",Kg,8023,229.61953,0.00023,20.739
07082000,"Beans (Vigna spp., phaseolus spp.), fresh or chilled",Kg,240,10.27852,0.00001,0.926
07089000,"Other leguminous vegetables, fresh or chilled, nes",Kg,5380,138.012781,0.000138,12.487
07093000,"Aubergines (egg plants), fresh or chilled",Kg,9209,236.490441,0.000236,21.303
07095100,"Mushrooms of the genus agaricus, fresh or chilled",Kg,3260,2142.874656,0.002143,207.267
07096000,"Fruits of genus capiscum or pimenta, fresh or chilled",Kg,80989,2980.774663,0.002981,268.582
07099300,"Pumpkins, squash and gourds (Cucurbita spp), fresh or chilled",Kg,718543,19137.92658,0.019138,1727.515
07099900,Other fresh or chilled vegetables,Kg,403972,10793.054609,0.010793,976.489
07102100,"Shelled or unshelled peas, frozen",Kg,63110,5328.179017,0.005328,1235.139
07102900,"Leguminous vegetables, shelled or unshelle d, frozen, nes",Kg,30,2.40225,0.000002,0.585
07104000,"Sweet corn, frozen",Kg,67440,5584.228852,0.005584,1041.661
07122000,Dried onions,Kg,31275,5779.738862,0.00578,1263
07123100,Dried mushrooms of the genus Agaricus,Kg,0.6,0.32207,0,0.543
07123900,Other dried mushrooms and truffles,Kg,1484.2,1505.197439,0.001505,365.675
07129011,Dried Garlic Neither crushed nor ground,Kg,97539,33239.419472,0.033239,8077.711
07129012,Dried Garlic Crushed or ground,Kg,27615,8446.509236,0.008447,1252.689
07129090,Other dried vegetable; mixtures of vegetables,Kg,6008.88,1668.655256,0.001669,87.609
07131010,"Dried peas, in shelled",Kg,950541,57432.71483,0.057433,17230.514
07131090,"other Dried peas, (excel in shelled)",Kg,7805,4911.417621,0.004911,1474.072
07132000,"Dried Chickpeas (garbanzos), shelled whether or not skinned or split.",Kg,4247452,404758.129196,0.404758,40479.874
07133100,"Dried beans, shelled whether or not skinned or split",Kg,4184323,540243.90476,0.540244,54029.295
07133300,"Dried kidney beans, incl white pea beans, shelled whether or not skinned or split",Kg,577570,55965.226215,0.055965,5711.879
07133500,"Dried Cow peas (Vigna unguiculata), shelled, whether or not skinned or split",Kg,19500,1950.203422,0.00195,195.022
07133900,"other Dried beans, shelled, whether or not skinned or split.",Kg,83762,10034.656669,0.010035,990.918
07134010,"Dried Red Lentils, Unskinned, unsplit (Whole)",Kg,6804130,651838.578456,0.651839,65185.047
07134090,"Red lentils (except Unskinned, unsplit)",Kg,1783306,173221.964463,0.173222,17224.004
07135000,"Dried broad beans and horse beans, shelled, whether or not skinned or split",Kg,20400,2091.993641,0.002092,188.347
07136000,"Dried pigeon peas (Cajanus cajan), shelled, whether or not skinned or spilt",Kg,283188,40808.784795,0.040809,4081.563
07139010,"Other dried Leguminous Vegitables, Skinned or split (Whole)",Kg,142774,15015.960585,0.015016,1422.662
07139090,Other dried Leguminous Vegitables (except skinned or split),Kg,251981,29939.643475,0.02994,2801.227
07142000,"Sweet potatoes, fresh or dried, chilled or  frozen",Kg,3230,137.395318,0.000137,13.806
07144000,"Taro (Colocasia spp), fresh or dried, chilled or  frozen",Kg,7996,222.809839,0.000223,22.551
07149000,"Arrowroot, salep & similar roots and tubers with high starch content, fresh or dried",Kg,35,13.77497,0.000014,1.378
08011100,"Coconuts, desiccated, fresh or dried",Kg,231982,54898.4126,0.054898,13342.478
08011200,In the inner shell (endocarp),Kg,29970,1135.709084,0.001136,211.942
08011900,"Coconuts, excluding desiccated, fresh or dried",Kg,3320310,109858.577268,0.109859,13711.668
08012200,"Brazil nuts, without shell, fresh or dried",Kg,14,9.2887,0.000009,2.848
08013100,"Cashew nuts, in shell,fresh or dried",Kg,24.4,11.34027,0.000011,5.73
08013200,"Cashew nuts, without shell, fresh or dried",Kg,131014.1,128149.933731,0.12815,38399.908
08021100,"Almonds in shell, fresh or dried",Kg,108.7,41.55528,0.000042,27.356
08021200,"Almonds without shells, fresh or dried",Kg,189071.4,180599.874035,0.1806,43893.338
08023100,"Walnuts in shell, fresh or dried",Kg,87098.5,34256.17011,0.034256,8340.963
08023200,"Walnuts without shells, fresh or dried",Kg,49,11.57174,0.000012,3.64
08025100,"Pistachios In shell, fresh or dried",Kg,10.4,3.92167,0.000004,2.708
08025200,"Pistachois without shells, fresh or dried",Kg,200.1,687.053877,0.000687,170.228
08026200,"Macadamianuts without shells, fresh or dried",Kg,62,15.08165,0.000015,10.915
08028000,"Areca nuts, fresh or dried",Kg,1556500,424875.0035,0.424875,406979.261
08029200,"Pine nuts, without shells, fresh or dried",Kg,0.5,0.46467,0,0.281
08029900,Other nuts,Kg,559.08,152.112741,0.000152,57.418
08041010,Dates fresh,Kg,158,76.40519,0.000076,40.166
08041020,Dates Dried,Kg,318.2,81.26308,0.000081,45.028
08042010,"Figs, (Anjir) fresh only",Kg,8,0.77168,0.000001,0.346
08042090,"Other Figs, (Anjir)",Kg,9981,6253.114459,0.006253,2296.915
08043000,"Pineapples, fresh or dried",Kg,1052854,46136.69051,0.046137,6469.864
08044000,"Avocados, fresh or dried",Kg,15030,6511.555277,0.006512,1972.008
08045000,"Guavas, mangoes and mangosteens, fresh or dried.",Kg,0.4,0.27526,0,0.086
08045010,Guavas,Kg,207253,12007.069657,0.012007,1682.461
08045020,Mangoes,Kg,3740915,258697.79625,0.258698,36919.534
08051000,"Oranges, fresh or dried",Kg,412226,49746.537041,0.049747,4933.313
08052100,"Mandarins (including tangarine and satsumas), fresh or dried",Kg,282079,41651.393,0.041651,4166.056
08052900,other wilkings and similar citrus hybrids fruits fresh & dried,Kg,32886,4591.029,0.004591,459.234
08055000,"Lemons ( Cirtus limon, Cirtus limonum) and limes (Cirtus aurantifolia. Cirtus lat",Kg,814889,75725.299811,0.075725,6852.104
08059000,"Other Citrus fruit, fresh or dried",Kg,23570,1537.69757,0.001538,138.413
08061000,Fresh grapes,Kg,226318,34061.577645,0.034062,3300.168
08062000,Dried grapes,Kg,54731.349999,20109.071107,0.020109,4904.032
08071100,"Watermelons, fresh",Kg,1957926,49953.292211,0.049953,4502.215
08071900,"Other Melons, fresh, (exclwatermelons)",Kg,15740,395.105808,0.000395,35.561
08072000,"Papaws (papayas), fresh",Kg,1478413,47368.961184,0.047369,4296.329
08081000,"Apples, fresh",Kg,6256942,901447.98446,0.901448,88883.928
08083000,"Pears, fresh",Kg,465653,59329.687854,0.05933,5941.314
08092900,"Other cherries, fresh",Kg,18,0.57654,0.000001,0.143
08094000,"Plums and sloes, fresh",Kg,2115,99.428061,0.000099,8.954
08102000,"Raspberries, blackberries, mulberries and  loganberries, fresh",Kg,56.25,166.589812,0.000167,31.135
08104000,"Cranberries, bilberries and other fruiits  of the genus Vaccinium, fresh",Kg,757.5,832.001729,0.000832,198.344
08105000,"Kiwifruit, fresh",Kg,68470,17598.658029,0.017599,4272.347
08109010,"Pomegranate, Fresh",Kg,1418961,163382.886414,0.163383,14764.988
08109090,"Other fruit, fresh, nes",Kg,350934,55993.482968,0.055993,5384.625
08112000,"Raspberries, blackberries, mulberries, loganberries, currants & gooseberries, frozen",Kg,300,514.899688,0.000515,154.278
08119000,"Other fruit and nuts, frozen, nes",Kg,2985,605.745016,0.000606,181.488
08131000,Dried apricots,Kg,2000,972.56727,0.000973,417.676
08132000,Dried prunes,Kg,99.5,76.974603,0.000077,33.63
08134000,"Other dried fruit, except heading 0801 to 0806 nes",Kg,26.2,49.17753,0.000049,21.231
08135000,Mixtures of dried fruit of this chapter or nuts,Kg,5448.249998,1893.819921,0.001894,816.373
09011100,"Coffee, not roasted, not decaffeinated",Kg,11976.470001,7581.23924,0.007581,4737.699
09011200,"Decaffeinated coffee, not roasted",Kg,24.5,17.64368,0.000018,10.483
09012100,"Roasted coffee, not decaffeinated",Kg,549.699999,503.422152,0.000503,311.319
09012200,"Roasted, decaffeinated coffee",Kg,1.4,1.65466,0.000002,1.023
09019000,"Coffee husks and skins,coffee substitutes containing coffee in any proportion",Kg,45.5,14.86928,0.000015,16.856
09021000,"Green tea,whether or not flavoured, in immidiate packings of content <=3kg",Kg,344.860004,1807.155581,0.001807,1116.389
09022000,"Green tea,whether or not flavoured, nes",Kg,24.92,9.64551,0.00001,4.151
09023000,"Black tea(fermented)&partly fermented,whether or not flavoured,in packings of <=3kg",Kg,94.2,91.746408,0.000092,57.104
09024000,Other black tea (fermented) and other partly fermented tea,Kg,35106.400013,21363.556197,0.021364,13158.107
09041110,Dried pepper neither crushed nor ground,Kg,80960,69454.83725,0.069455,25391.234
09041120,White Pepper,Kg,3000,1893.37675,0.001893,1059.156
09041130,Black Pepper (Marich),Kg,38422,33197.65838,0.033198,18570.908
09041190,Other Dried pepper neither crushed nor ground,Kg,7,4.96465,0.000005,2.781
09041210,Crushed or ground Pepper,Kg,25000.5,29707.61561,0.029708,10828.226
09042100,"Dried, neither, crushed or ground piper & capsicum",Kg,421800.5,96640.140962,0.09664,29492.658
09042200,Crushed or ground piper & capsicum,Kg,141695.400002,48775.724916,0.048776,13506.763
09052000,Venila crushed or ground,Kg,0.3,3.203,0.000003,0.78
09061100,Cinnamon (Cunnamomum zeylanicum Blume) - Neither crushed nor ground,Kg,2000.1,651.453993,0.000651,239.335
09061900,"Other - Cinnamon & cinnamon tree flowers, neither crushed nor ground",Kg,54241,16458.287758,0.016458,6045.404
09062000,"Cinnamon and cinnamon-tree flowers, crushed or ground",Kg,100.5,45.34436,0.000045,14.524
09071000,Cloves neither crushed nor ground,Kg,41550,41320.880109,0.041321,10041.305
09072000,Cloves crushed or ground,Kg,0.5,2.43161,0.000002,0.657
09081100,Nutmag neither crushed nor ground,Kg,1650,1446.200078,0.001446,351.559
09082100,Mace neither crushed nor ground,Kg,5787.200001,5290.634566,0.005291,1285.634
09083120,Small Cardamon (Sukumel) neither crushed nor ground,Kg,583.8,952.727115,0.000953,340.34
09083220,Small Cardamon (Sukumel) crushed or ground .,Kg,150,960.9,0.000961,149.966
09092100,Seeds of coriander neither crushed nor groud,Kg,888180,138546.734422,0.138547,25840.755
09092200,Seeds of coriander crushed or ground,Kg,8989,2286.667108,0.002287,426.542
09093100,Seeds of cumin neither crushed nor ground .,Kg,714550.5,236700.761122,0.236701,44381.291
09093200,Seeds of Cumin crushed or ground,Kg,6040,2262.129316,0.002262,422.026
09096100,"Seeds of anise, badian, caraway or fennel; juniper berries Neither crushed nor ground",Kg,75598,15353.279672,0.015353,2887.717
09101110,Fresh Ginger nither crushed nor ground,Kg,434350,51928.478656,0.051928,8049.836
09101190,Other Ginger crushed or ground (sutho),Kg,54200,21591.294641,0.021591,1192.607
09102000,Saffron,Kg,40,1884.55725,0.001885,485.777
09103010,Turmeric (Fresh),Kg,1.5,0.36034,0,0.057
09103020,Turmeric (dust or Powder),Kg,27055,6906.965391,0.006907,1070.902
09103090,Other turmeric,Kg,94980.4,24817.63375,0.024818,3847.083
09109100,Other Spice mixtures (referred to in Note 1(b) to this Chapter),Kg,118842.9,59190.383572,0.05919,27709.433
09109910,Fenugreek(Methi),Kg,322763,33023.667201,0.033024,6160.118
09109990,Other spices nes,Kg,131803.3,19416.682148,0.019417,4718.89
10011900,Other drum wheat,Kg,32813188,1426670.004875,1.42667,75330.428
10019900,Other meslin,Kg,6122520,265207.697,0.265208,13264.119
10039000,Other barley,Kg,52320,2342.464043,0.002342,117.192
10059000,Maize (corn) (excl seed),Kg,4972995,180022.86575,0.180023,9007.824
10061010,Seed of Paddy Rice,Kg,67,500.568331,0.000501,50.123
10061090,Others Paddy,Kg,8628565,365017.1835,0.365017,18273.699
10062000,Husked (brown) rice,Kg,625,89.3648,0.000089,8.941
10063010,"Basmati Rice Semi-milled or wholly milled rice, whether or not polished or glazed",Kg,4125750,568591.451426,0.568591,51181.038
10063090,"Other Rice Semi-milled or wholly milled rice, whether or not polished or glazed",Kg,11852199,833323.785036,0.833324,75073.129
10064000,Broken rice,Kg,332160,13306.776828,0.013307,1198.398
10081000,Buckwheat,Kg,59020,6168.46546,0.006168,525.838
10082900,Other millet,Kg,1162070,63278.465828,0.063278,3166.416
10085000,Quinoa (Chenopodium quinoa),Kg,5770,1133.508859,0.001134,211.404
11010000,Wheat or meslin flour except maida,Kg,3427,536.009225,0.000536,124.368
11022000,Maize (corn) flour,Kg,1010,50.900959,0.000051,11.804
11029000,"Other cereal flour, nes",Kg,1220,54.80382,0.000055,13.372
11031190,Other Groats and meal of wheat,Kg,30,1.60151,0.000002,0.395
11031300,Groats and meal of maize (corn),Kg,81780,3953.343998,0.003953,916.663
11031900,"Groats and meal of other cereals, nes",Kg,26800,1293.604719,0.001294,299.733
11042300,"Other worked grains of maize (corn), nes",Kg,89000,3886.519,0.003887,349.982
11043000,"Cereal germ, whole, rolled, flaked or ground",Kg,5940,502.305875,0.000502,45.208
11052000,"Potato flakes, granules and pellets",Kg,19841,2557.631844,0.002558,621.77
11061000,"Flour, meal and powderOf the dried leguminous vegetables of Heading 07.13",Kg,3584,290.302073,0.00029,123.118
11063000,"Flour, meal and powder of products of chapter 8",Kg,22677,7078.624622,0.007079,3000.129
11071000,Malt not roasted,Kg,2265300,193549.50275,0.19355,57971.519
11072000,Roasted malt,Kg,25000,2125.61,0.002126,636.686
11081200,Maize (corn) starch,Kg,900050,49990.354954,0.04999,9929.105
11081300,Potato starch,Kg,10000,1147.405625,0.001147,278.886
11081400,Manioc (cassava) starch,Kg,145000,13037.15175,0.013037,2578.947
11081900,"Other starches, nes",Kg,100,89.520758,0.00009,0.961
11090000,Wheat gluten whether or not dried,Kg,164350,40455.018403,0.040455,7545.262
12019000,Other soyabean,Kg,21948167,1841001.44525,1.841001,104687.958
12024100,Groundnut In shell,Kg,18000,1810.36925,0.00181,162.999
12024200,"Groundnut shelled, whether or not broken",Kg,192055,30813.461799,0.030813,2773.846
12040000,"Linseed, whether or not broken",Kg,78185,7644.488422,0.007644,1858.082
12051000,Low erucic acid rape or colza seeds,Kg,22691935,2401047.7645,2.401048,353757.655
12060000,"Sunflower seeds, whether or not broken",Kg,12940.1,1568.450813,0.001568,363.481
12072100,Cotton Seed,Kg,63,8.11962,0.000008,1.979
12074000,Sesamum seeds,Kg,236747,27551.853894,0.027552,6386.86
12075000,Mustards seeds,Kg,1651500,214314.963912,0.214315,40491.141
12077000,Melon seeds,Kg,1764001,262150.35941,0.26215,63811.432
12079900,"Other oil seeds and oleaginous fruits, nes",Kg,52981,19370.123536,0.01937,7772.051
12081000,Soya bean flour and meal,Kg,3,0.28827,0,0.071
12093000,"Seeds of herbaceous plants, of a kind used for sowing",Kg,2.03,1347.608406,0.001348,0.065
12099110,Seed of Cauliflower,Kg,470,22069.497375,0.022069,220.893
12099120,Seed of Cabbage,Kg,250.1,4467.49065,0.004467,44.676
12099130,Seed of Onions,Kg,75.1,853.2914,0.000853,8.599
12099150,Seed of Tomato,Kg,0.3,36.064828,0.000036,0.361
12099190,Seed of other vegetables,Kg,27876.890002,60398.320859,0.060398,799.453
12102000,"Hop cones, ground, powdered or in the form of pellets; lupulin fresh or dried",Kg,3265,6209.847977,0.00621,1458.751
12119090,"Other plants or parts, of a kind used in perfumery, pharmacy etc, nes",Kg,131796.500008,20559.872644,0.02056,4037.84
12122900,Other seaweeds and other algae,Kg,4,0.99008,0.000001,0.725
12129300,Sugar cane,Kg,161880,1473.069336,0.001473,132.97
12129900,"Vegetable products used primarily for human consumption,fresh or dried, nes.",Kg,100,53.97566,0.000054,12.507
12130000,"Cereal straw and husks, unprepared, not chopped, ground, pressed  or form of pellets",Kg,180285,1129.533953,0.00113,211.119
13012000,Natural gum arabic,Kg,7360,1886.916813,0.001887,458.852
13019000,"Natural gums, resins, gum-resins,natural oeoresesins and balsams (excl gum arab",Kg,18716.5,8039.053593,0.008039,1964.016
13021200,Vegetable saps and extracts of Liquorice,Kg,350,112.484281,0.000112,27.335
13021300,Vegetable saps and extracts of Hop,Kg,346.479996,8657.381422,0.008657,2103.877
13021900,"Other vegetable saps and extracts, nes",Kg,350015.75,30861.922724,0.030862,7310.971
13022000,"Pectic substances, pectinates and pectates",Kg,500,946.7825,0.000947,230.135
13023200,"Mucilages and thickeners of locust beans, bean seeds and guar seeds.",Kg,5825,1983.577637,0.001984,469.22
13023900,"Other Mucilages and thickeners, derived from vegetable products, nes.",Kg,775,721.613749,0.000722,170.641
14049010,Semi processed catechu of acacia (liquid ka tha),Kg,33,2.75458,0.000003,0.975
14049020,Cetechu of acacia (Kattha),Kg,2500,4032.37125,0.004032,1731.704
14049030,Bidi wraper leaves (tendu),Kg,23686,1549.68102,0.00155,473.485
14049040,Heart leaf (Pan ko Pat),Kg,6171,1373.420015,0.001373,436.411
14049091,Cocopit,Kg,82670,5211.4475,0.005211,972.334
14049099,Other vegetable products,Kg,9750,696.460293,0.000696,255.117
15021000,Tallow .,Kg,1701965,239117.68875,0.239118,44599.082
15042000,"Fish Fats and oils and their fractions, of fish, other than liver oils",Kg,4.29,2.11308,0.000002,0.515
15071000,Crude soya-bean oil,LTR,108530239.148804,18404287.5485,18.404288,597801.108
15079000,Soya-bean oil (excl. crude) and fractions,Kg,378.799988,120.716453,0.000121,36.156
15092000,Extra virgin olive oil,Kg,6902.225,7497.623417,0.007498,1822.338
15094000,Other virgin olive oils,Kg,2.5,0.84833,0.000001,0.388
15099000,Olive oil and fractions (excl. virgin),LTR,4696.1,4409.39626,0.004409,1071.765
15109000,Other oils or fractions of heading 15.09 (excel crude olive pomace oil),Kg,2655,1588.046859,0.001588,385.897
15111000,Crude palm oil,LTR,4271537,731151.124,0.731151,69328.63
15119010,Refined bleached deodorized palm oil,LTR,837355,171544.21775,0.171544,40793.455
15119020,Refined bleached deodorized palm olein,LTR,1558345,293246.3105,0.293246,81544.874
15119090,"Palm oil (excl. crude) and its fractions, refined or not but not chemically modified",LTR,22860,5577.7265,0.005578,1670.596
15121100,Crude sunflower oil,LTR,17979278.71875,3576203.972,3.576204,421222.735
15121900,Sunflower-seed and safflower oil (excl. crude) and fractions thereof,LTR,91568,27624.26326,0.027624,8273.601
15122900,"Cotton-seed oil(excl crude)and its fractions, refined or not chemically modified",LTR,34990,9178.776,0.009179,2126.788
15131100,Crude coconut (copra) oil,LTR,980,287.706273,0.000288,69.979
15131900,"Coconut (copra) oil (excl. crude) & its fractions,refined or not chemially modified",LTR,11160.966,12152.021301,0.012152,2860.425
15132900,"Palm kernel or babassu oil (excl. crude) & fractions,refined, not chemically modified",LTR,748.5,67.036119,0.000067,16.411
15141900,Other oil of low erucic acid rape or colza oil and its fractions,LTR,444,59.56187,0.00006,17.881
15149990,"Other of rape, colza or mustard oil & fractions thereof nes",LTR,16980,4097.325625,0.004097,1227.217
15153000,Castor oil and its fractions,LTR,8600,2209.484453,0.002209,456.343
15155000,Sesame oil and its fractions,LTR,2546.800002,768.944672,0.000769,187.322
15159000,Other fixed vegetable fats and fractions (NON_EDABLE),LTR,69881,20018.800364,0.020019,4865.165
15162000,"Vegetable fats and oils and their fractions, hydrogenated, etc.",LTR,152787.329297,55915.244837,0.055915,16747.084
15171000,Margarine (excluding liquid Margarine),Kg,12300,2882.223562,0.002882,863.494
15179000,"Other Edible preparations of fats and oils, nes",LTR,263965.25,51999.848599,0.052,21758.533
15180000,"Animal, vegetable or microbial fats and oils and their fractions, boiled, oxidised, d",LTR,5622.5,1706.121818,0.001706,511.057
15219000,"Beeswax, other insect waxes and spermaceti",Kg,723,243.011621,0.000243,46.032
16010000,"Sausages and similar products, of meat,meat offal, blood or insects; food preparation",Kg,0.2,0.73002,0.000001,0.363
16023200,"Prepared or preserved meat,offal or blood of fowls of the species gallus domestic",Kg,0.9,0.48235,0,1.656
16024100,"Preparations of swine, hams and cuts",Kg,1000,2020.422,0.00202,999.015
16041100,Prepared or preserved salmon (excl. minced ),Kg,1009,4519.798375,0.00452,2234.771
16041400,"Tunas, skipjack tuna and bonito (Sarda spp.)",Kg,5.3,1.89902,0.000002,1.879
16042000,"Other prepared or preserved fish, including minced, nes",Kg,21004.800049,16473.10275,0.016473,8144.915
17011310,Sakhhar (Gud) Cane sugar specified in Subheading Note 2 to this Chapter,Kg,162583,8196.565513,0.008197,2160.774
17011320,Khanda sugar Cane sugar specified in Subheading Note 2 to this Chapter,Kg,12378.5,907.102906,0.000907,272.917
17011390,Other Cane sugar specified in Subheading Note 2 to this Chapter,Kg,461,23.82261,0.000024,7.185
17011410,Sakhhar (Gud) of other cane sugar,Kg,2151650,88277.705332,0.088278,23861.774
17011420,Khanda sugar of other cane sugar,Kg,594,50.3872,0.00005,15.14
17011490,"Other cane sugar (excel khanda sugarm, shakar-gud)",Kg,1245,135.34557,0.000135,40.569
17019100,"Cane or beet sugar, containing added flavo uring or colouring",Kg,720,119.089061,0.000119,55.858
17019910,Rock sugar or rock candy or sugar candy (Mishri),Kg,235088.5,17511.409227,0.017511,5245.785
17019920,Sugar Cube,Kg,20,1.6035,0.000002,0.754
17019990,"Cane or beet sugar, in solid form, nes",Kg,3248,133.112719,0.000133,39.868
17021100,Lactose and lactose syrup containing by weight>=99% lactose calculated on the dry,Kg,27300,11418.615634,0.011419,1227.882
17021900,Lactose and lactose syrup containing by weight <99% lactose calculated on the dry,Kg,200,86.97975,0.000087,21.137
17023010,Liquid Glucose (Not Containing fructose or containing in the dry state less than 25%),Kg,343533.5,20987.786648,0.020988,4153.556
17023020,Solid Glucose (Not Containing fructose or containing in the dry state less than 25% ),Kg,40200,5590.649028,0.005591,1124.777
17023030,Dextrose (Not Containing fructose or containing in the dry state less than 25% ),Kg,76000,5271.075203,0.005271,1048.921
17024030,Dextrose (containing in the dry state >=20 % but <50% fructose,Kg,2097.899902,574.039062,0.000574,139.557
17029020,"Artificial Honey, Weather or not mixed with natural honey",Kg,150.01,1538.339121,0.001538,373.886
17029030,Caramal,Kg,27485,2764.484082,0.002764,592.155
17029090,Other Sugar & sugar syrup blends containing in the dry strait 50% weight of fructose,Kg,73200.5,5682.332372,0.005682,1124.925
17039000,Molasses resulting from the extraction or refining of sugar (excl cane).,Kg,5,0.48045,0,0.179
17041000,Chewing gum whether or not sugar- coated,Kg,65466.169141,44975.002451,0.044975,35630.261
17049000,"Sugar confectionery (including white chocolate), not containing cocoa",Kg,194428.780107,57909.004582,0.057909,45889.478
18050000,"Cocoa powder, not containing added sugar or other sweetening matter",Kg,20275.7,18685.882376,0.018686,5270.816
18061000,"Cocoa powder, containing added sugar or other sweetening matter",Kg,7141,6215.438321,0.006215,4924.267
18062000,"Chocolate, etc, containing cocoa, in blocks, slabs or bars >2kg in ... forms",Kg,45209.63,18432.147976,0.018432,14613.448
18063100,"Filled (Chocolate, etc, containing cocoa, in blocks, slabs or bars)",Kg,3066.3,2790.58028,0.002791,2212.587
18063200,"Not filled (Chocolate, etc, containing cocoa in blocks, slabs or bars)",Kg,31.5,13.39129,0.000013,12.299
18069010,"Chocolate, etc, containing cocoa, not in blocks, slabs or bars, nes.",Kg,39306.039965,11927.393449,0.011927,9584.364
